trace_id,ticker,quarter,guidance_availability,actual,baseline_prediction,online_anchor_prediction,pre_ram_prediction,final_came_prediction,compressed_base_delta_log,compressed_base_support,intrinsic_delta_log,intrinsic_support,temporal_delta_log,temporal_support,guidance_delta_log,guidance_support,guidance_active,base_weight,intrinsic_weight,temporal_weight,guidance_weight,blend_support_sum,ram_active,ram_reason,ram_history_n,ram_prior_signed_log_error,normalized_card_ids_json,normalized_card_count,public_release_status,derived_artifact_status,source_material_access_status,source_material_redistribution_status,verbatim_text_status
AMZN:FY2019_Q3,AMZN,FY2019_Q3,none,69981000000.0,63404000000.0,56576000000.0,56576000000.0,64796497489.04415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,prior_signed_error_strength_active,8,0.2095735134835755,[],0,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2019_Q4,AMZN,FY2019_Q4,none,87437000000.0,69981000000.0,72383000000.0,72383000000.0,79754355023.88013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,prior_signed_error_strength_active,14,0.1808792808408042,"[""d85fdc9bb67c75bf4199"",""8f694dbcdfaf36ea3588"",""055265fc5b11c3cb0a55"",""763f23b0b7677b5ffa2d"",""684624ca097e3556be55"",""06c77b53610a8539fc40"",""b7e4947944b8c090832b"",""276a2a6a9c04dc1dc8af"",""2f36a36cc8092be5aa7e"",""0d75e5197616368f6716""]",10,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2020_Q1,AMZN,FY2020_Q1,explicit_numeric,75452000000.0,87437000000.0,74944687096.00726,71000000000.0,71000000000.0,0.0,0.0,-0.0259200262915334,0.0,0.0,0.0,-0.0540704590175403,0.9448356807511736,1,0.0,0.0,0.0,1.0,0.9448356807511736,0,not_no_guidance_current_kept,0,,"[""33612334b2b61dc48820"",""339f0552e2b4ffec7060"",""8bcf758abc39d83a9b05""]",3,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2020_Q2,AMZN,FY2020_Q2,explicit_numeric,88912000000.0,75452000000.0,78549231280.44243,78000000000.0,78000000000.0,0.0,0.0,-0.003363655294262,0.0,0.0,0.0,-0.0070167515916809,0.8056923259711949,1,0.0,0.0,0.0,1.0,0.8056923259711949,0,not_no_guidance_current_kept,0,,"[""3d69aed21913193e57d0"",""6b64c8715a13284ad1bd""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2020_Q3,AMZN,FY2020_Q3,explicit_numeric,96145000000.0,88912000000.0,86904634487.13847,89999999999.99998,89999999999.99998,0.0,0.0,0.0167773139998771,0.0,0.0,0.0,0.0349983082135638,0.6411750487569102,1,0.0,0.0,0.0,1.0,0.6411750487569102,0,not_no_guidance_current_kept,0,,"[""cfc5f1ed812b89b35a15"",""8c496a2708054000aff9"",""1b54febda2845dfcec1b"",""e0bab369d5d2e964cb48""]",4,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2020_Q4,AMZN,FY2020_Q4,explicit_numeric,125555000000.0,96145000000.0,107046786852.42365,115282426982.97226,115282426982.97226,0.0,0.0,0.0347156077997014,0.0,0.0556231441070387,0.4107510222766183,0.0846252738112521,0.5651524352753351,1,0.0,0.0,0.362258520419848,0.637741479580152,0.8861779472889157,0,not_no_guidance_current_kept,0,,"[""147d803b27099948aa75"",""c5ada09e733bba1aff41"",""94b2590dbbee32fb6ad6""]",3,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2021_Q1,AMZN,FY2021_Q1,explicit_numeric,108518000000.0,125555000000.0,109565821459.70483,105924839380.97542,105924839380.97542,0.0,0.0,-0.0108220318656363,0.0,0.0325953210274429,0.4833802256945224,-0.061796489654188,0.5730571067438928,1,0.0,0.0,0.2966442928992664,0.7033557071007336,0.814747219591154,0,not_no_guidance_current_kept,0,,"[""933e49d642139c3a85f3"",""95dcde25deb216138e75""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2021_Q2,AMZN,FY2021_Q2,explicit_numeric,113080000000.0,108518000000.0,119065371178.84528,116255901584.63304,116255901584.63304,0.0,0.0,-0.0030425051566824,0.0,0.0654135142703512,0.4101196059021108,-0.0522848612058596,0.6445921547873987,1,0.0,0.0,0.2413456487487766,0.7586543512512233,0.8496519577384541,0,not_no_guidance_current_kept,0,,"[""297e22bf0621bb0379d3""]",1,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2021_Q3,AMZN,FY2021_Q3,explicit_numeric,110812000000.0,113080000000.0,122850382409.42683,115839927491.09116,115839927491.09116,0.0013383399454658,0.1282078994314796,-0.0255789668769377,0.0,0.0700161712225288,0.4077283476342468,-0.1196193295490469,0.6528905409149748,1,0.2075293466590259,0.0,0.1885678272201762,0.6039028261207978,1.0811185387371876,0,not_no_guidance_current_kept,0,,"[""80da82a78fd51577712f""]",1,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AMZN:FY2021_Q4,AMZN,FY2021_Q4,explicit_numeric,137412000000.0,110812000000.0,134634005063.69724,137947525428.3407,137947525428.3407,0.0069826270111804,0.075464145033278,0.0176395495212171,0.0,0.0628080642924769,0.3954830660250449,0.0027147552178738,0.5707718466296333,1,0.0801103228460703,0.0,0.3537279545103334,0.5661617226435961,1.0081427687560915,0,not_no_guidance_current_kept,0,,"[""05978f653dc385fcc056"",""2893f8e7d155b7cd3068"",""fbce4633a93d086ff226"",""926854494f08fa8d3142"",""88a854b8dc6d8a89ea6f""]",5,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
